# Constructed from biom file
#OTU ID	HA6.28	HA4.28	CR1.28	CR9.28	CR3.28	HA10.28	CR7.28	CR4.28	HA7.28	HA1.28	HA3.28	CR8.28	CR6.28	HA5.28	HA9.28	CR2.28	KEGG_Pathways
Metabolism of Other Amino Acids	601697.0	681184.0	797373.0	1635467.0	886480.0	925487.0	675978.0	814970.0	553420.0	541303.0	622518.0	757242.0	597712.0	446357.0	754932.0	886136.0	Metabolism; Metabolism of Other Amino Acids
Metabolism of Terpenoids and Polyketides	611459.0	645574.0	904007.0	1892324.0	1027252.0	903161.0	807330.0	918634.0	607595.0	572041.0	607933.0	873444.0	680652.0	472813.0	800047.0	1002142.0	Metabolism; Metabolism of Terpenoids and Polyketides
Nervous System	41296.0	42959.0	57208.0	145497.0	75363.0	60018.0	51531.0	66076.0	40389.0	37152.0	41703.0	60428.0	43823.0	29873.0	54272.0	74033.0	Organismal Systems; Nervous System
Neurodegenerative Diseases	45988.0	36705.0	41768.0	57114.0	38048.0	38885.0	31367.0	38940.0	36055.0	37833.0	39529.0	34253.0	24629.0	30033.0	31787.0	41927.0	Human Diseases; Neurodegenerative Diseases
Nucleotide Metabolism	1672915.0	1744868.0	2247808.0	4743633.0	2575110.0	2327666.0	2009368.0	2367815.0	1574000.0	1502196.0	1633120.0	2220524.0	1691849.0	1294429.0	2039369.0	2521408.0	Metabolism; Nucleotide Metabolism
Poorly Characterized	2024841.0	2097920.0	2721646.0	6003509.0	3172280.0	2916547.0	2443900.0	2850492.0	1880826.0	1761919.0	2000638.0	2628337.0	1954177.0	1473156.0	2459855.0	3104164.0	Unclassified; Poorly Characterized
Replication and Repair	3624778.0	3803364.0	4771852.0	10190377.0	5580122.0	5186528.0	4355287.0	5124567.0	3414697.0	3231588.0	3612003.0	4772928.0	3785059.0	2802675.0	4487167.0	5557477.0	Genetic Information Processing; Replication and Repair
Sensory System	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Sensory System
Signal Transduction	800484.0	856863.0	791663.0	1661319.0	913860.0	1206566.0	714522.0	840156.0	676401.0	660103.0	835920.0	743173.0	622893.0	506334.0	871185.0	977052.0	Environmental Information Processing; Signal Transduction
Signaling Molecules and Interaction	66634.0	65659.0	89833.0	153995.0	89447.0	76374.0	71331.0	85061.0	60828.0	59617.0	62598.0	82911.0	59912.0	53293.0	70448.0	82907.0	Environmental Information Processing; Signaling Molecules and Interaction
Transcription	1320773.0	1336388.0	1787072.0	3914770.0	2029146.0	1829883.0	1502344.0	1784778.0	1231923.0	1143091.0	1356230.0	1652138.0	1161914.0	916340.0	1536320.0	2006340.0	Genetic Information Processing; Transcription
Translation	2298030.0	2444897.0	3072412.0	6731150.0	3654733.0	3374669.0	2796125.0	3325353.0	2167171.0	2070410.0	2286236.0	3104369.0	2445678.0	1806582.0	2927415.0	3655680.0	Genetic Information Processing; Translation
Transport and Catabolism	128655.0	117656.0	113513.0	213017.0	125501.0	122617.0	92259.0	139983.0	103423.0	100857.0	107697.0	110314.0	93131.0	89039.0	110466.0	127119.0	Cellular Processes; Transport and Catabolism
Xenobiotics Biodegradation and Metabolism	715053.0	630649.0	1023466.0	2011855.0	1108158.0	814548.0	837826.0	935360.0	671000.0	676387.0	687716.0	929327.0	574467.0	534052.0	739371.0	1033535.0	Metabolism; Xenobiotics Biodegradation and Metabolism
