cage_id	id	rt	exp_time	state	days
4	4	38.74	2018-09-19	HA	7
5	0	39.35	2018-09-19	HA	7
5	1	39.21	2018-09-19	HA	7
5	2	39.47	2018-09-19	HA	7
5	3	38.35	2018-09-19	HA	7
5	4	39.57	2018-09-19	HA	7
6	0	38.43	2018-09-19	CR	7
6	1	38.32	2018-09-19	CR	7
6	2	38.33	2018-09-19	CR	7
6	3	37.25	2018-09-19	CR	7
6	4	37.89	2018-09-19	CR	7
7	0	38.36	2018-09-19	CR	7
7	1	37.92	2018-09-19	CR	7
7	2	38.14	2018-09-19	CR	7
7	3	38.11	2018-09-19	CR	7
7	4	37.89	2018-09-19	CR	7
8	0	37.45	2018-09-19	CR	7
8	1	37.84	2018-09-19	CR	7
8	2	37.81	2018-09-19	CR	7
8	3	38.23	2018-09-19	CR	7
8	4	37.57	2018-09-19	CR	7
1	0	38.73	2018-09-20	HA	8
1	1	39.17	2018-09-20	HA	8
1	2	38.35	2018-09-20	HA	8
1	3	39.07	2018-09-20	HA	8
1	4	38.66	2018-09-20	HA	8
2	0	38.28	2018-09-20	HA	8
2	1	38.39	2018-09-20	HA	8
2	2	38.78	2018-09-20	HA	8
2	3	38.57	2018-09-20	HA	8
2	4	39.02	2018-09-20	HA	8
3	0	39.01	2018-09-20	HA	8
3	1	39.16	2018-09-20	HA	8
3	2	38.75	2018-09-20	HA	8
3	3	38.57	2018-09-20	HA	8
3	4	38.39	2018-09-20	HA	8
4	0	38.58	2018-09-20	HA	8
4	1	39	2018-09-20	HA	8
4	2	38.65	2018-09-20	HA	8
4	3	38.31	2018-09-20	HA	8
4	4	38.17	2018-09-20	HA	8
5	0	38.73	2018-09-20	HA	8
5	1	38.2	2018-09-20	HA	8
5	2	38.7	2018-09-20	HA	8
5	3	38.85	2018-09-20	HA	8
5	4	38.41	2018-09-20	HA	8
6	0	38.33	2018-09-20	CR	8
6	1	37.98	2018-09-20	CR	8
6	2	37.63	2018-09-20	CR	8
