Treatment	CR	CR	CR	CR	CR	CR	CR	CR	HA	HA	HA	HA	HA	HA	HA	HA
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.782690e-05	6.839711e-05	6.959669e-05	1.996274e-04	1.276464e-04	1.732742e-05	1.814256e-05	1.121471e-04	3.718025e-05	1.600968e-04	4.569514e-04	3.278808e-04	5.773672e-05	2.058499e-04	3.569617e-04	3.929694e-04
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8.913450e-05	5.984747e-04	2.261892e-04	6.654245e-05	0.000000e+00	1.386194e-04	1.088554e-04	6.408408e-05	4.182778e-03	1.778853e-05	7.615856e-05	1.092936e-04	1.924557e-04	1.047963e-03	5.636237e-05	2.679337e-04
k__Bacteria|p__Tenericutes|c__Mollicutes	1.782690e-04	1.709928e-05	1.618123e-03	6.986958e-04	2.005872e-04	0.000000e+00	9.434133e-04	2.403153e-04	2.156454e-03	2.490394e-04	3.236739e-04	1.420817e-03	9.622787e-05	4.865543e-04	3.569617e-04	8.931123e-05
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.859012e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Archaea|p__Crenarchaeota|c__Thaumarchaeota|o__Cenarchaeales	0.000000e+00	5.129784e-05	0.000000e+00	1.663561e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.320642e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	5.348070e-05	1.025957e-04	1.739917e-05	1.663561e-05	3.647040e-05	2.079290e-04	7.257026e-05	5.447147e-04	1.859012e-05	3.557706e-05	1.903964e-05	1.092936e-04	1.732102e-04	3.742725e-05	1.878746e-05	1.786225e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.000000e+00	1.709928e-05	8.699586e-05	0.000000e+00	0.000000e+00	6.930968e-05	0.000000e+00	0.000000e+00	5.577037e-05	0.000000e+00	0.000000e+00	1.821560e-05	0.000000e+00	1.122818e-04	0.000000e+00	1.786225e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.0014439790	0.0029581752	0.0021226990	0.0014140271	0.0005835263	0.0087850014	0.0034289446	0.0008010510	0.0126226948	0.0020990465	0.0007806253	0.0003825276	0.0005388761	0.0005614088	0.0004696864	0.0052515004
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.3978964	0.1760029	0.3647040	0.4115318	0.5327960	0.2774640	0.3143925	0.0996988	0.2046215	0.2221254	0.1671109	0.3461146	0.2778291	0.2235155	0.3239521	0.4265326
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2	1.247883e-04	5.129784e-04	1.739917e-04	3.826191e-04	9.117599e-05	1.039645e-04	0.000000e+00	1.281682e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.773672e-05	3.181316e-04	1.878746e-05	8.931123e-05
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta	5.526339e-04	8.652235e-03	6.402895e-03	8.983231e-04	9.117599e-05	1.022318e-03	7.075600e-04	2.723573e-04	4.759072e-03	7.115412e-05	7.615856e-05	5.646836e-04	3.079292e-04	1.534517e-03	1.127247e-04	7.144899e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.000000e+00	3.419856e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.821560e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.009680007	0.011251325	0.014493510	0.012892600	0.005415854	0.005562101	0.106442425	0.028581499	0.141080458	0.031983777	0.081394463	0.124867937	0.250962279	0.057001703	0.032333214	0.058873964
k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales	2.317497e-04	6.839711e-05	3.305843e-04	3.327123e-05	0.000000e+00	3.465484e-05	6.894174e-04	1.602102e-05	2.602617e-04	5.336559e-05	3.807928e-05	1.821560e-05	9.622787e-05	7.485450e-05	0.000000e+00	0.000000e+00
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.5590160	0.7599432	0.5575391	0.5469124	0.4437900	0.6875347	0.5324661	0.8416803	0.5943821	0.6980753	0.7275808	0.5090167	0.4472671	0.6793046	0.6220339	0.4823164
