Treatment	CR	CR	CR	CR	CR	CR	CR	CR	HA	HA	HA	HA	HA	HA	HA	HA
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae	0.000000e+00	6.839711e-05	5.219752e-05	1.663561e-05	5.470559e-05	0.000000e+00	0.000000e+00	1.602102e-05	7.436050e-05	1.778853e-05	1.903964e-05	0.000000e+00	1.924557e-05	5.614088e-05	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__mitochondria	7.130760e-05	1.641531e-03	7.829627e-04	1.663561e-04	1.823520e-05	2.425839e-04	1.088554e-04	1.602102e-05	6.320642e-04	0.000000e+00	0.000000e+00	3.643120e-05	1.154734e-04	2.432771e-04	0.000000e+00	5.358674e-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0.000000e+00	1.709928e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.814256e-05	1.602102e-05	1.487210e-04	0.000000e+00	1.903964e-05	1.821560e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	0.010678314	0.010755446	0.042192992	0.017450759	0.009810536	0.005250208	0.027431557	0.017927521	0.019779893	0.026309236	0.002094360	0.003442748	0.006351039	0.008888972	0.003663554	0.017379966
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	3.565380e-05	1.880921e-04	1.391934e-04	1.996274e-04	5.470559e-05	4.505129e-04	3.628513e-05	2.563363e-04	3.718025e-04	5.692330e-04	7.615856e-05	1.275092e-04	5.196305e-04	6.175496e-04	2.254495e-04	2.322092e-04
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.0086103931	0.0062754352	0.0002609876	0.0001663561	0.0012217582	0.0035694483	0.0002902810	0.0004005255	0.0028814694	0.0052298278	0.0134800655	0.0040985100	0.0072748268	0.0165428448	0.0103706765	0.0035903115
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	1.782690e-05	6.839711e-05	6.959669e-05	1.996274e-04	1.276464e-04	1.732742e-05	1.814256e-05	1.121471e-04	3.718025e-05	1.600968e-04	4.569514e-04	3.278808e-04	5.773672e-05	2.058499e-04	3.569617e-04	3.929694e-04
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	3.565380e-05	2.393899e-04	1.043950e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.974420e-04	1.778853e-05	1.903964e-05	1.821560e-05	1.154734e-04	2.994180e-04	0.000000e+00	3.572449e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.000000e+00	0.000000e+00	0.000000e+00	1.663561e-05	0.000000e+00	0.000000e+00	1.814256e-05	0.000000e+00	8.551457e-04	0.000000e+00	0.000000e+00	1.821560e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	3.565380e-05	6.839711e-05	6.959669e-05	3.327123e-05	0.000000e+00	8.663709e-05	3.628513e-05	4.806306e-05	2.379536e-03	0.000000e+00	5.711892e-05	7.286240e-05	5.773672e-05	5.614088e-05	1.878746e-05	1.786225e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	1.782690e-05	2.906877e-04	5.219752e-05	1.663561e-05	0.000000e+00	5.198226e-05	5.442769e-05	1.602102e-05	6.506544e-04	0.000000e+00	0.000000e+00	0.000000e+00	1.924557e-05	6.924041e-04	3.757491e-05	2.143470e-04
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae	1.782690e-04	0.000000e+00	1.304938e-03	6.321533e-04	2.005872e-04	0.000000e+00	9.434133e-04	2.403153e-04	2.026324e-03	2.490394e-04	2.475153e-04	1.420817e-03	0.000000e+00	4.865543e-04	3.569617e-04	8.931123e-05
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.859012e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Archaea|p__Crenarchaeota|c__Thaumarchaeota|o__Cenarchaeales|f__Cenarchaeaceae|g__Nitrosopumilus	0.000000e+00	5.129784e-05	0.000000e+00	1.663561e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.320642e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	5.348070e-05	1.025957e-04	1.739917e-05	1.663561e-05	3.647040e-05	2.079290e-04	7.257026e-05	5.447147e-04	1.859012e-05	3.557706e-05	1.903964e-05	1.092936e-04	1.732102e-04	3.742725e-05	1.878746e-05	1.786225e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.000000e+00	1.709928e-05	8.699586e-05	0.000000e+00	0.000000e+00	6.930968e-05	0.000000e+00	0.000000e+00	5.577037e-05	0.000000e+00	0.000000e+00	1.821560e-05	0.000000e+00	1.122818e-04	0.000000e+00	1.786225e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	7.130760e-05	6.839711e-05	1.043950e-04	1.663561e-05	0.000000e+00	4.505129e-04	1.088554e-04	3.204204e-05	4.275729e-04	7.115412e-05	1.903964e-05	0.000000e+00	3.849115e-05	1.871363e-05	1.878746e-05	5.358674e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	1.782690e-05	1.966417e-03	6.437694e-04	1.164493e-03	3.282336e-04	6.203216e-03	1.161124e-03	4.806306e-05	9.295062e-05	1.458659e-03	1.903964e-05	2.550184e-04	1.924557e-05	3.742725e-05	1.502997e-04	4.161903e-03
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__5-7N15	1.435066e-02	1.077255e-03	4.471587e-03	2.611791e-03	5.306442e-03	1.732742e-05	9.071282e-05	8.010510e-05	5.577037e-05	7.933684e-03	6.473478e-04	5.118584e-03	5.196305e-04	7.859723e-04	1.208034e-02	3.108031e-03
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2.993137e-02	1.234568e-02	1.755576e-02	5.256854e-03	7.549372e-03	6.930968e-05	7.075600e-04	3.043994e-04	5.911660e-03	1.577843e-02	3.922166e-03	1.060148e-02	1.905312e-03	1.223871e-02	1.465422e-02	5.340812e-03
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	8.913450e-03	2.787182e-03	5.254550e-03	1.730104e-03	6.929375e-04	1.732742e-05	1.814256e-05	1.281682e-04	3.160321e-04	2.899530e-03	5.711892e-05	7.468396e-04	3.849115e-04	1.104104e-03	1.296335e-03	1.893398e-03
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.252482396	0.031531069	0.113059818	0.273023689	0.475993362	0.185438037	0.226237776	0.034893781	0.007566181	0.098833072	0.014165493	0.174578309	0.066531948	0.029960514	0.191406617	0.289404115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Butyricimonas	2.139228e-04	2.376800e-03	1.270140e-03	2.162630e-04	1.094112e-04	0.000000e+00	0.000000e+00	1.602102e-05	3.718025e-05	5.158674e-04	3.807928e-05	2.368028e-04	0.000000e+00	9.356813e-05	9.393729e-05	2.679337e-04
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__CF231	0.0086282200	0.0049758900	0.0131537739	0.0656274953	0.0023888109	0.0001906016	0.0079645857	0.0004806306	0.0243902439	0.0015653906	0.0411637028	0.0681445590	0.0544457275	0.0339278028	0.0201589419	0.0008752501
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__YRC22	0.0027096889	0.0055059676	0.0020531023	0.0016136545	0.0004923503	0.0000000000	0.0002358533	0.0002242943	0.0001859012	0.0003735591	0.0003046342	0.0005646836	0.0001154734	0.0004116998	0.0007890732	0.0006073164
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__[Prevotella]	0.0536767983	0.0435347628	0.1455092738	0.0073862124	0.0133846350	0.0498856390	0.0165823037	0.0116953443	0.0001487210	0.0312188701	0.0005521496	0.0005100368	0.0103541186	0.0029193256	0.0085295057	0.0721277508
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.732742e-05	0.000000e+00	0.000000e+00	3.718025e-05	0.000000e+00	0.000000e+00	0.000000e+00	1.924557e-05	5.614088e-05	1.878746e-05	1.786225e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.009145200	0.009626894	0.014197724	0.012692973	0.005197031	0.004089271	0.106279141	0.024768496	0.138329120	0.031788103	0.081261186	0.124594703	0.250731332	0.056178303	0.031675653	0.058695342
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0.000000e+00	1.367942e-04	0.000000e+00	1.663561e-05	1.823520e-05	1.732742e-05	0.000000e+00	0.000000e+00	1.115407e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.485450e-05	0.000000e+00	0.000000e+00
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.0005348070	0.0014876372	0.0002783867	0.0001829917	0.0002005872	0.0014381758	0.0001269979	0.0038130027	0.0026026175	0.0001956738	0.0001332775	0.0002732340	0.0002117013	0.0006549769	0.0006387736	0.0001607602
k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales|f__Turicibacteraceae|g__Turicibacter	2.317497e-04	6.839711e-05	3.305843e-04	3.327123e-05	0.000000e+00	3.465484e-05	6.894174e-04	1.602102e-05	2.602617e-04	5.336559e-05	3.807928e-05	1.821560e-05	9.622787e-05	7.485450e-05	0.000000e+00	0.000000e+00
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Candidatus Arthromitus	6.061146e-04	6.839711e-05	1.739917e-05	1.330849e-04	9.117599e-05	1.178264e-03	4.644496e-03	2.082733e-04	2.751338e-03	1.423082e-04	1.142378e-04	3.278808e-04	1.347190e-04	1.403522e-03	5.636237e-05	5.001429e-04
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	8.236028e-03	2.051913e-03	9.273759e-03	5.489752e-03	0.000000e+00	6.185889e-03	9.379706e-03	2.563363e-04	1.139575e-02	7.115412e-05	1.123339e-02	2.368028e-03	9.199384e-03	1.641185e-02	2.386007e-03	0.000000e+00
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Dehalobacteriaceae|g__Dehalobacterium	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0004275729	0.0000000000	0.0001142378	0.0000000000	0.0000000000	0.0002619908	0.0000000000	0.0000000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	1.782690e-05	0.000000e+00	1.739917e-05	8.317807e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.142378e-04	0.000000e+00	0.000000e+00	0.000000e+00	1.878746e-05	0.000000e+00
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.171423478	0.214903731	0.322859032	0.207545914	0.058735571	0.181366094	0.204648125	0.711877984	0.003903926	0.096111427	0.003103461	0.019053517	0.001250962	0.004173138	0.036466455	0.117069163
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0.0009804795	0.0112513252	0.0018791106	0.0009981368	0.0049599737	0.0003812032	0.0016146882	0.0012175975	0.0093694230	0.0010495233	0.0139179772	0.0037341980	0.0035796767	0.0122574246	0.0181862589	0.0008752501
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.0061859346	0.0121062891	0.0020357031	0.0022957147	0.0016046974	0.0010049903	0.0021952503	0.0004806306	0.0038295657	0.0032375125	0.0029321046	0.0041349412	0.0030215550	0.0020023579	0.0028556935	0.0031437554
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	0.000000e+00	1.367942e-04	5.219752e-05	0.000000e+00	0.000000e+00	0.000000e+00	3.628513e-05	1.121471e-04	0.000000e+00	2.490394e-04	5.769011e-03	3.297024e-03	0.000000e+00	0.000000e+00	0.000000e+00	1.143184e-03
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.0033336304	0.0116104100	0.0019661064	0.0115451158	0.0796331078	0.0005198226	0.0083455796	0.0012496395	0.0165080309	0.1853564821	0.0600129470	0.1114976866	0.0147998460	0.0094129536	0.0102955267	0.1091740497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Ruminococcus]	0.0311970764	0.0028213809	0.0011309462	0.0009815012	0.0029905724	0.0001386194	0.0018505416	0.0007850300	0.0136823319	0.0007471183	0.0174783900	0.0040985100	0.0029060816	0.0111907480	0.0112536870	0.0021256073
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__rc4-4	3.565380e-04	1.385042e-03	2.122699e-03	6.587703e-03	2.917632e-04	5.198226e-05	2.503674e-03	1.602102e-05	4.889203e-03	7.115412e-04	2.970184e-03	2.368028e-03	9.738260e-03	1.764695e-02	1.916321e-03	2.500714e-04
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira	0.003119708	0.022553948	0.032101472	0.030426537	0.012673462	0.015213474	0.015602605	0.001249640	0.105703450	0.033086666	0.129412437	0.054355350	0.037682833	0.037408537	0.085464144	0.025739497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.021641858	0.013662323	0.026986115	0.019496939	0.008005252	0.011366787	0.053266569	0.023278541	0.036827037	0.010708695	0.048798599	0.015210026	0.048267898	0.050807493	0.078137036	0.012950129
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megamonas	3.663428e-02	6.497726e-04	1.391934e-04	1.663561e-04	1.046700e-01	2.868727e-01	2.888296e-02	3.204204e-05	9.295062e-04	1.735627e-01	5.711892e-05	7.286240e-05	1.732102e-04	3.929861e-04	3.344167e-03	6.228565e-02
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Phascolarctobacterium	0.019930475	0.006429329	0.001513728	0.001896460	0.003264100	0.032454256	0.033001324	0.006824954	0.016433670	0.002686068	0.006283081	0.002349812	0.002213241	0.004322847	0.004415053	0.004662046
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum	0.0054906854	0.0120720906	0.0046977764	0.0007486026	0.0035923339	0.0029629886	0.0104864021	0.0015540389	0.0025468471	0.0029173189	0.0001142378	0.0000910780	0.0008852964	0.0001684226	0.0008266481	0.0010360103
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	3.565380e-05	2.222906e-04	1.043950e-04	6.820602e-04	2.552928e-04	1.975326e-03	1.451405e-04	3.204204e-05	0.000000e+00	3.860111e-03	1.903964e-05	0.000000e+00	8.852964e-04	4.678406e-04	2.630244e-04	8.752501e-04
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	1.158749e-03	6.326733e-04	3.479834e-05	7.818738e-04	8.023487e-04	2.945661e-03	5.442769e-05	1.602102e-05	1.859012e-05	4.802903e-04	1.903964e-05	1.457248e-04	2.309469e-04	3.742725e-05	1.127247e-04	5.537296e-04
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__[Eubacterium]	1.497460e-03	0.000000e+00	2.087901e-04	3.327123e-05	3.099984e-04	1.906016e-04	1.814256e-05	4.485885e-04	1.673111e-04	6.581756e-04	5.711892e-05	3.460964e-04	0.000000e+00	0.000000e+00	0.000000e+00	2.143470e-04
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__p-75-a5	0.000000e+00	1.025957e-04	4.697776e-04	7.652382e-04	1.276464e-04	0.000000e+00	9.615559e-04	1.602102e-05	1.859012e-05	1.778853e-05	2.094360e-04	3.460964e-04	7.313318e-04	7.485450e-05	3.569617e-04	5.358674e-05
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.814256e-05	0.000000e+00	2.658388e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.786225e-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	0.000000e+00	1.709928e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.814256e-05	1.602102e-05	1.487210e-04	0.000000e+00	1.903964e-05	1.821560e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella	0.010678314	0.010755446	0.042192992	0.017450759	0.009810536	0.005250208	0.027431557	0.017927521	0.019779893	0.026309236	0.002094360	0.003442748	0.006351039	0.008888972	0.003663554	0.017379966
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter	3.565380e-05	1.880921e-04	1.391934e-04	1.996274e-04	5.470559e-05	4.505129e-04	3.628513e-05	2.563363e-04	3.718025e-04	5.692330e-04	7.615856e-05	1.275092e-04	5.196305e-04	6.175496e-04	2.254495e-04	2.322092e-04
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	8.182547e-03	5.694060e-03	1.565925e-04	6.654245e-05	7.841135e-04	1.455503e-03	1.451405e-04	2.242943e-04	2.360946e-03	4.838480e-03	1.075740e-02	2.313381e-03	6.581986e-03	1.407265e-02	7.477408e-03	3.036582e-03
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Erwinia	0.000000e+00	2.393899e-04	6.959669e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.115407e-04	0.000000e+00	1.903964e-05	1.821560e-05	0.000000e+00	1.871363e-05	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0.000000e+00	0.000000e+00	0.000000e+00	1.663561e-05	0.000000e+00	0.000000e+00	1.814256e-05	0.000000e+00	8.551457e-04	0.000000e+00	0.000000e+00	1.821560e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Moraxella	1.782690e-05	0.000000e+00	0.000000e+00	3.327123e-05	0.000000e+00	1.732742e-05	0.000000e+00	0.000000e+00	4.275729e-04	0.000000e+00	0.000000e+00	5.464680e-05	0.000000e+00	1.871363e-05	0.000000e+00	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter	1.782690e-05	6.839711e-05	5.219752e-05	0.000000e+00	0.000000e+00	6.930968e-05	0.000000e+00	4.806306e-05	0.000000e+00	0.000000e+00	0.000000e+00	1.821560e-05	5.773672e-05	0.000000e+00	1.878746e-05	0.000000e+00
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	1.782690e-05	2.906877e-04	5.219752e-05	1.663561e-05	0.000000e+00	5.198226e-05	0.000000e+00	1.602102e-05	9.295062e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.871363e-05	3.757491e-05	1.964847e-04
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma	1.782690e-04	0.000000e+00	1.304938e-03	6.321533e-04	2.005872e-04	0.000000e+00	9.434133e-04	2.403153e-04	2.026324e-03	2.490394e-04	2.475153e-04	1.420817e-03	0.000000e+00	4.865543e-04	3.569617e-04	8.931123e-05
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.859012e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
