"","V","p.value","-log10(p)","FDR"
"Com_14953_pos",50,1,0,1
"Com_14968_pos",65,0.27986,0.55306,0.73906
"Com_14971_pos",76,0.052426,1.2805,0.46149
"Com_14976_pos",55,0.73936,0.13114,0.94633
"Com_14983_pos",42,0.57874,0.23752,0.88784
"Com_1498_pos",52,0.9118,0.040102,0.99065
"Com_14990_pos",59,0.52885,0.27667,0.86844
"Com_14992_pos",85,0.0068415,2.1649,0.25294
"Com_149_pos",75,0.063013,1.2006,0.4868
"Com_15001_pos",47,0.85343,0.068833,0.98294
"Com_15004_pos",45,0.73936,0.13114,0.94633
"Com_15006_pos",59,0.52885,0.27667,0.86844
"Com_15007_pos",95,0.00020568,3.6868,0.10506
"Com_15038_pos",38,0.39305,0.40555,0.79969
"Com_15039_pos",24,0.052426,1.2805,0.46149
"Com_15086_pos",59,0.52885,0.27667,0.86844
"Com_15108_pos",59,0.52885,0.27667,0.86844
"Com_15114_pos",43,0.63053,0.20029,0.91112
"Com_15129_pos",59,0.52885,0.27667,0.86844
"Com_1513_pos",91,0.00105,2.9788,0.15097
"Com_15154_pos",74,0.075256,1.1235,0.50326
"Com_1516_pos",40,0.48125,0.31763,0.85132
"Com_1518_pos",86,0.005196,2.2843,0.22792
"Com_15193_pos",37,0.35268,0.45262,0.793
"Com_15196_pos",50,1,0,1
"Com_15199_pos",46,0.79594,0.099122,0.97073
"Com_15212_pos",41,0.52885,0.27667,0.86844
"Com_15224_pos",60,0.48125,0.31763,0.85132
"Com_15226_pos",64,0.315,0.50169,0.76474
"Com_15228_pos",38,0.39305,0.40555,0.79969
"Com_15229_pos",45,0.73936,0.13114,0.94633
"Com_15231_pos",78,0.035463,1.4502,0.41156
"Com_15251_pos",75,0.063013,1.2006,0.4868
"Com_15257_pos",68,0.19032,0.72052,0.68218
"Com_15258_pos",50,1,0,1
"Com_15278_pos",68,0.19032,0.72052,0.68218
"Com_15282_pos",58,0.57874,0.23752,0.88784
"Com_15295_pos",55,0.73936,0.13114,0.94633
"Com_15302_pos",52,0.9118,0.040102,0.99065
"Com_15309_pos",25,0.063013,1.2006,0.4868
"Com_15310_pos",57,0.63053,0.20029,0.91112
"Com_1531_pos",73,0.08921,1.0496,0.52234
"Com_15330_pos",49,0.97051,0.012999,0.99948
"Com_15331_pos",52,0.9118,0.040102,0.99065
"Com_15338_pos",46,0.79594,0.099122,0.97073
"Com_1534_pos",81,0.018543,1.7318,0.3287
"Com_15365_pos",48,0.9118,0.040102,0.99065
"Com_153_pos",58,0.57874,0.23752,0.88784
"Com_15413_pos",49,0.97051,0.012999,0.99948
"Com_15417_pos",37,0.35268,0.45262,0.793
"Com_15421_pos",62,0.39305,0.40555,0.79969
"Com_15422_pos",50,1,0,1
"Com_15434_pos",45,0.73936,0.13114,0.94633
"Com_15460_pos",48,0.9118,0.040102,0.99065
"Com_15476_pos",68,0.19032,0.72052,0.68218
"Com_1548_pos",60,0.48125,0.31763,0.85132
"Com_15495_pos",27,0.08921,1.0496,0.52234
"Com_15496_pos",26,0.075256,1.1235,0.50326
"Com_15498_pos",68,0.19032,0.72052,0.68218
"Com_1549_pos",71,0.12301,0.91008,0.59614
"Com_1551_pos",58,0.57874,0.23752,0.88784
"Com_15527_pos",26,0.075256,1.1235,0.50326
"Com_1552_pos",48,0.9118,0.040102,0.99065
"Com_15537_pos",55,0.73936,0.13114,0.94633
"Com_15548_pos",33,0.21756,0.66242,0.70646
"Com_15550_pos",59,0.52885,0.27667,0.86844
"Com_15576_pos",49,0.97051,0.012999,0.99948
"Com_15577_pos",32,0.19032,0.72052,0.68218
"Com_15579_pos",44,0.68421,0.16481,0.92418
"Com_15587_pos",28,0.10512,0.9783,0.55409
"Com_15589_pos",37,0.35268,0.45262,0.793
"Com_15598_pos",70,0.14314,0.84424,0.63324
"Com_1561_pos",73,0.08921,1.0496,0.52234
"Com_15641_pos",50,1,0,1
"Com_15642_pos",69,0.16549,0.78122,0.65589
"Com_15645_pos",38,0.39305,0.40555,0.79969
"Com_15666_pos",80,0.023231,1.6339,0.35365
"Com_15673_pos",43,0.63053,0.20029,0.91112
"Com_15693_pos",48,0.9118,0.040102,0.99065
"Com_15706_pos",40,0.48125,0.31763,0.85132
"Com_15707_pos",52,0.9118,0.040102,0.99065
"Com_1570_pos",50,1,0,1
"Com_15728_pos",67,0.21756,0.66242,0.70646
"Com_15778_pos",53,0.85343,0.068833,0.98294
"Com_15831_pos",71,0.12301,0.91008,0.59614
"Com_15832_pos",46,0.79594,0.099122,0.97073
"Com_15839_pos",57,0.63053,0.20029,0.91112
"Com_15840_pos",69,0.16549,0.78122,0.65589
"Com_15846_pos",72,0.10512,0.9783,0.55409
"Com_15864_pos",66,0.24745,0.60651,0.71394
"Com_15867_pos",53,0.85343,0.068833,0.98294
"Com_15881_pos",67,0.21756,0.66242,0.70646
"Com_15883_pos",53,0.85343,0.068833,0.98294
"Com_15886_pos",29,0.12301,0.91008,0.59614
"Com_15899_pos",54,0.79594,0.099122,0.97073
"Com_15921_pos",51,0.97051,0.012999,0.99948
"Com_15928_pos",74,0.075256,1.1235,0.50326
"Com_15933_pos",78,0.035463,1.4502,0.41156
"Com_15937_pos",49,0.97051,0.012999,0.99948
"Com_15938_pos",52,0.9118,0.040102,0.99065
"Com_15941_pos",46,0.79594,0.099122,0.97073
"Com_15953_pos",60,0.48125,0.31763,0.85132
"Com_15958_pos",73,0.08921,1.0496,0.52234
"Com_15961_pos",56,0.68421,0.16481,0.92418
"Com_15963_pos",46,0.79594,0.099122,0.97073
"Com_15964_pos",31,0.16549,0.78122,0.65589
"Com_15989_pos",63,0.35268,0.45262,0.793
"Com_15995_pos",43,0.63053,0.20029,0.91112
"Com_1599_pos",36,0.315,0.50169,0.76474
"Com_15_pos",27,0.08921,1.0496,0.52234
"Com_1602_pos",41,0.52885,0.27667,0.86844
"Com_16030_pos",50,1,0,1
"Com_16051_pos",54,0.79594,0.099122,0.97073
"Com_16061_pos",51,0.97051,0.012999,0.99948
"Com_16077_pos",39,0.43587,0.36064,0.83189
"Com_1607_pos",53,0.85343,0.068833,0.98294
"Com_16081_pos",55,0.73936,0.13114,0.94633
"Com_16090_pos",68,0.19032,0.72052,0.68218
"Com_16095_pos",57,0.63053,0.20029,0.91112
"Com_16107_pos",40,0.48125,0.31763,0.85132
"Com_16114_pos",56,0.68421,0.16481,0.92418
"Com_16116_pos",76,0.052426,1.2805,0.46149
"Com_1611_pos",63,0.35268,0.45262,0.793
"Com_16122_pos",40,0.48125,0.31763,0.85132
"Com_16136_pos",45,0.73936,0.13114,0.94633
"Com_1613_pos",60,0.48125,0.31763,0.85132
"Com_1614_pos",26,0.075256,1.1235,0.50326
"Com_16153_pos",38,0.39305,0.40555,0.79969
"Com_1615_pos",50,1,0,1
"Com_16169_pos",37,0.35268,0.45262,0.793
"Com_1616_pos",72,0.10512,0.9783,0.55409
"Com_16189_pos",65,0.27986,0.55306,0.73906
"Com_16190_pos",70,0.14314,0.84424,0.63324
"Com_16193_pos",23,0.043257,1.3639,0.4356
"Com_16203_pos",23,0.043257,1.3639,0.4356
"Com_16214_pos",54,0.79594,0.099122,0.97073
"Com_1621_pos",63,0.35268,0.45262,0.793
"Com_16235_pos",39,0.43587,0.36064,0.83189
"Com_16240_pos",66,0.24745,0.60651,0.71394
"Com_16243_pos",58,0.57874,0.23752,0.88784
"Com_16249_pos",57,0.63053,0.20029,0.91112
"Com_1624_pos",62,0.39305,0.40555,0.79969
"Com_16283_pos",73,0.08921,1.0496,0.52234
"Com_16291_pos",70,0.14314,0.84424,0.63324
"Com_16304_pos",73,0.08921,1.0496,0.52234
"Com_16326_pos",59,0.52885,0.27667,0.86844
"Com_16333_pos",62,0.39305,0.40555,0.79969
"Com_1633_pos",28,0.10512,0.9783,0.55409
"Com_16340_pos",70,0.14314,0.84424,0.63324
"Com_1634_pos",58,0.57874,0.23752,0.88784
"Com_16357_pos",49,0.97051,0.012999,0.99948
"Com_16380_pos",66,0.24745,0.60651,0.71394
"Com_16409_pos",30,0.14314,0.84424,0.63324
"Com_16417_pos",50,1,0,1
"Com_16435_pos",58,0.57874,0.23752,0.88784
"Com_16439_pos",43,0.63053,0.20029,0.91112
"Com_16464_pos",52,0.9118,0.040102,0.99065
"Com_1646_pos",35,0.27986,0.55306,0.73906
"Com_16477_pos",51,0.97051,0.012999,0.99948
"Com_16483_pos",48,0.9118,0.040102,0.99065
"Com_16497_pos",79,0.028806,1.5405,0.38035
"Com_16498_pos",74,0.075256,1.1235,0.50326
"Com_16499_pos",65,0.27986,0.55306,0.73906
"Com_16507_pos",55,0.73936,0.13114,0.94633
"Com_16509_pos",66,0.24745,0.60651,0.71394
"Com_16513_pos",48,0.9118,0.040102,0.99065
"Com_16528_pos",34,0.24745,0.60651,0.71394
"Com_16539_pos",49,0.97051,0.012999,0.99948
"Com_16541_pos",59,0.52885,0.27667,0.86844
"Com_16555_pos",29,0.12301,0.91008,0.59614
"Com_1655_pos",77,0.043257,1.3639,0.4356
"Com_16569_pos",51,0.97051,0.012999,0.99948
"Com_16589_pos",77,0.043257,1.3639,0.4356
"Com_16591_pos",80,0.023231,1.6339,0.35365
"Com_16608_pos",40,0.48125,0.31763,0.85132
"Com_1660_pos",45,0.73936,0.13114,0.94633
"Com_16617_pos",76,0.052426,1.2805,0.46149
"Com_16622_pos",61,0.43587,0.36064,0.83189
"Com_16639_pos",57,0.63053,0.20029,0.91112
"Com_16657_pos",68,0.19032,0.72052,0.68218
"Com_16686_pos",52,0.9118,0.040102,0.99065
"Com_16698_pos",51,0.97051,0.012999,0.99948
"Com_16702_pos",53,0.85343,0.068833,0.98294
"Com_16710_pos",70,0.14314,0.84424,0.63324
"Com_16712_pos",58,0.57874,0.23752,0.88784
"Com_1671_pos",38,0.39305,0.40555,0.79969
"Com_16723_pos",64,0.315,0.50169,0.76474
"Com_16727_pos",72,0.10512,0.9783,0.55409
"Com_16729_pos",83,0.011496,1.9394,0.28886
"Com_16736_pos",91,0.00105,2.9788,0.15097
"Com_16739_pos",47,0.85343,0.068833,0.98294
"Com_1673_pos",58,0.57874,0.23752,0.88784
"Com_16740_pos",59,0.52885,0.27667,0.86844
"Com_16743_pos",44,0.68421,0.16481,0.92418
"Com_1674_pos",65,0.27986,0.55306,0.73906
"Com_16754_pos",50,1,0,1
"Com_16756_pos",46,0.79594,0.099122,0.97073
"Com_16758_pos",64,0.315,0.50169,0.76474
"Com_16765_pos",53,0.85343,0.068833,0.98294
"Com_16777_pos",45,0.73936,0.13114,0.94633
"Com_16786_pos",61,0.43587,0.36064,0.83189
"Com_16791_pos",50,1,0,1
"Com_16805_pos",87,0.0038862,2.4105,0.20115
"Com_16807_pos",81,0.018543,1.7318,0.3287
"Com_16814_pos",47,0.85343,0.068833,0.98294
"Com_1681_pos",17,0.011496,1.9394,0.28886
"Com_16838_pos",48,0.9118,0.040102,0.99065
"Com_16839_pos",69,0.16549,0.78122,0.65589
"Com_16846_pos",65,0.27986,0.55306,0.73906
"Com_16858_pos",65,0.27986,0.55306,0.73906
"Com_16887_pos",53,0.85343,0.068833,0.98294
"Com_1688_pos",52,0.9118,0.040102,0.99065
"Com_16897_pos",48,0.9118,0.040102,0.99065
"Com_168_pos",34,0.24745,0.60651,0.71394
"Com_16904_pos",28,0.10512,0.9783,0.55409
"Com_16925_pos",22,0.035463,1.4502,0.41156
"Com_16933_pos",36,0.315,0.50169,0.76474
"Com_16935_pos",47,0.85343,0.068833,0.98294
"Com_16939_pos",59,0.52885,0.27667,0.86844
"Com_16940_pos",63,0.35268,0.45262,0.793
"Com_16948_pos",24,0.052426,1.2805,0.46149
"Com_16949_pos",66,0.24745,0.60651,0.71394
"Com_16951_pos",63,0.35268,0.45262,0.793
"Com_16956_pos",55,0.73936,0.13114,0.94633
"Com_16961_pos",60,0.48125,0.31763,0.85132
"Com_16964_pos",56,0.68421,0.16481,0.92418
"Com_16975_pos",86,0.005196,2.2843,0.22792
"Com_16981_pos",56,0.68421,0.16481,0.92418
"Com_16988_pos",46,0.79594,0.099122,0.97073
"Com_1698_pos",56,0.68421,0.16481,0.92418
"Com_16992_pos",61,0.43587,0.36064,0.83189
"Com_17006_pos",41,0.52885,0.27667,0.86844
"Com_1700_pos",53,0.85343,0.068833,0.98294
"Com_17030_pos",34,0.24745,0.60651,0.71394
"Com_17031_pos",64,0.315,0.50169,0.76474
"Com_17040_pos",60,0.48125,0.31763,0.85132
"Com_17048_pos",28,0.10512,0.9783,0.55409
"Com_17049_pos",53,0.85343,0.068833,0.98294
"Com_17059_pos",43,0.63053,0.20029,0.91112
"Com_17067_pos",63,0.35268,0.45262,0.793
"Com_1708_pos",90,0.0015047,2.8226,0.1656
"Com_17105_pos",36,0.315,0.50169,0.76474
"Com_1710_pos",27,0.08921,1.0496,0.52234
"Com_17126_pos",34,0.24745,0.60651,0.71394
"Com_17134_pos",65,0.27986,0.55306,0.73906
"Com_17139_pos",51,0.97051,0.012999,0.99948
"Com_17155_pos",82,0.01469,1.833,0.3287
"Com_17174_pos",57,0.63053,0.20029,0.91112
"Com_17216_pos",81,0.018543,1.7318,0.3287
"Com_17228_pos",74,0.075256,1.1235,0.50326
"Com_17241_pos",46,0.79594,0.099122,0.97073
"Com_17269_pos",52,0.9118,0.040102,0.99065
"Com_17286_pos",37,0.35268,0.45262,0.793
"Com_172_pos",40,0.48125,0.31763,0.85132
"Com_17303_pos",50,1,0,1
"Com_1730_pos",61,0.43587,0.36064,0.83189
"Com_1732_pos",57,0.63053,0.20029,0.91112
"Com_17342_pos",66,0.24745,0.60651,0.71394
"Com_17358_pos",73,0.08921,1.0496,0.52234
"Com_17369_pos",45,0.73936,0.13114,0.94633
"Com_17374_pos",51,0.97051,0.012999,0.99948
"Com_17382_pos",63,0.35268,0.45262,0.793
"Com_17385_pos",72,0.10512,0.9783,0.55409
"Com_17412_pos",52,0.9118,0.040102,0.99065
"Com_17427_pos",59,0.52885,0.27667,0.86844
"Com_17438_pos",46,0.79594,0.099122,0.97073
"Com_17443_pos",49,0.97051,0.012999,0.99948
"Com_1744_pos",58,0.57874,0.23752,0.88784
"Com_17459_pos",69,0.16549,0.78122,0.65589
"Com_17464_pos",79,0.028806,1.5405,0.38035
"Com_17481_pos",65,0.27986,0.55306,0.73906
"Com_17496_pos",26,0.075256,1.1235,0.50326
"Com_17499_pos",78,0.035463,1.4502,0.41156
"Com_17500_pos",62,0.39305,0.40555,0.79969
"Com_17563_pos",67,0.21756,0.66242,0.70646
"Com_17568_pos",31,0.16549,0.78122,0.65589
"Com_17608_pos",56,0.68421,0.16481,0.92418
"Com_17621_pos",64,0.315,0.50169,0.76474
"Com_17627_pos",72,0.10512,0.9783,0.55409
"Com_1764_pos",41,0.52885,0.27667,0.86844
"Com_17651_pos",56,0.68421,0.16481,0.92418
"Com_17666_pos",17,0.011496,1.9394,0.28886
"Com_17676_pos",57,0.63053,0.20029,0.91112
"Com_17677_pos",53,0.85343,0.068833,0.98294
"Com_17689_pos",61,0.43587,0.36064,0.83189
"Com_17702_pos",23,0.043257,1.3639,0.4356
"Com_17718_pos",39,0.43587,0.36064,0.83189
"Com_17726_pos",60,0.48125,0.31763,0.85132
"Com_17730_pos",66,0.24745,0.60651,0.71394
"Com_17733_pos",75,0.063013,1.2006,0.4868
"Com_17763_pos",39,0.43587,0.36064,0.83189
"Com_17768_pos",57,0.63053,0.20029,0.91112
"Com_17778_pos",65,0.27986,0.55306,0.73906
"Com_1777_pos",81,0.018543,1.7318,0.3287
"Com_17799_pos",55,0.73936,0.13114,0.94633
"Com_17807_pos",70,0.14314,0.84424,0.63324
"Com_17818_pos",68,0.19032,0.72052,0.68218
"Com_17826_pos",68,0.19032,0.72052,0.68218
"Com_17829_pos",70,0.14314,0.84424,0.63324
"Com_17838_pos",56,0.68421,0.16481,0.92418
"Com_17854_pos",42,0.57874,0.23752,0.88784
"Com_17864_pos",60,0.48125,0.31763,0.85132
"Com_17868_pos",26,0.075256,1.1235,0.50326
"Com_17887_pos",64,0.315,0.50169,0.76474
"Com_17892_pos",53,0.85343,0.068833,0.98294
"Com_1789_pos",77,0.043257,1.3639,0.4356
"Com_17919_pos",53,0.85343,0.068833,0.98294
"Com_17924_pos",56,0.68421,0.16481,0.92418
"Com_17928_pos",52,0.9118,0.040102,0.99065
"Com_17947_pos",62,0.39305,0.40555,0.79969
"Com_17955_pos",66,0.24745,0.60651,0.71394
"Com_17956_pos",74,0.075256,1.1235,0.50326
"Com_17964_pos",25,0.063013,1.2006,0.4868
"Com_17965_pos",61,0.43587,0.36064,0.83189
"Com_1796_pos",25,0.063013,1.2006,0.4868
"Com_17978_pos",51,0.97051,0.012999,0.99948
"Com_17981_pos",64,0.315,0.50169,0.76474
"Com_17987_pos",70,0.14314,0.84424,0.63324
"Com_18004_pos",36,0.315,0.50169,0.76474
"Com_18009_pos",84,0.0089307,2.0491,0.28886
"Com_18014_pos",56,0.68421,0.16481,0.92418
"Com_18026_pos",67,0.21756,0.66242,0.70646
"Com_18030_pos",76,0.052426,1.2805,0.46149
"Com_18035_pos",58,0.57874,0.23752,0.88784
"Com_18047_pos",78,0.035463,1.4502,0.41156
"Com_18070_pos",67,0.21756,0.66242,0.70646
"Com_18073_pos",55,0.73936,0.13114,0.94633
"Com_18074_pos",41,0.52885,0.27667,0.86844
"Com_18077_pos",42,0.57874,0.23752,0.88784
"Com_18079_pos",45,0.73936,0.13114,0.94633
"Com_18081_pos",60,0.48125,0.31763,0.85132
"Com_18082_pos",61,0.43587,0.36064,0.83189
"Com_18100_pos",60,0.48125,0.31763,0.85132
"Com_18101_pos",34,0.24745,0.60651,0.71394
"Com_18107_pos",66,0.24745,0.60651,0.71394
"Com_18120_pos",51,0.97051,0.012999,0.99948
"Com_18151_pos",44,0.68421,0.16481,0.92418
"Com_18153_pos",38,0.39305,0.40555,0.79969
"Com_18156_pos",65,0.27986,0.55306,0.73906
"Com_18162_pos",65,0.27986,0.55306,0.73906
"Com_18167_pos",25,0.063013,1.2006,0.4868
"Com_18169_pos",47,0.85343,0.068833,0.98294
"Com_1816_pos",64,0.315,0.50169,0.76474
"Com_18176_pos",60,0.48125,0.31763,0.85132
"Com_18188_pos",72,0.10512,0.9783,0.55409
"Com_18195_pos",50,1,0,1
"Com_18210_pos",60,0.48125,0.31763,0.85132
"Com_18231_pos",63,0.35268,0.45262,0.793
"Com_18232_pos",40,0.48125,0.31763,0.85132
"Com_18241_pos",54,0.79594,0.099122,0.97073
"Com_18275_pos",65,0.27986,0.55306,0.73906
"Com_18287_pos",50,1,0,1
"Com_18294_pos",72,0.10512,0.9783,0.55409
"Com_18306_pos",81,0.018543,1.7318,0.3287
"Com_18309_pos",50,1,0,1
"Com_18328_pos",62,0.39305,0.40555,0.79969
"Com_18333_pos",81,0.018543,1.7318,0.3287
"Com_18355_pos",43,0.63053,0.20029,0.91112
"Com_18360_pos",46,0.79594,0.099122,0.97073
"Com_1837_pos",25,0.063013,1.2006,0.4868
"Com_18385_pos",66,0.24745,0.60651,0.71394
"Com_183_pos",26,0.075256,1.1235,0.50326
"Com_18401_pos",39,0.43587,0.36064,0.83189
"Com_18413_pos",58,0.57874,0.23752,0.88784
"Com_18418_pos",58,0.57874,0.23752,0.88784
"Com_18425_pos",37,0.35268,0.45262,0.793
"Com_18427_pos",58,0.57874,0.23752,0.88784
"Com_18437_pos",68,0.19032,0.72052,0.68218
"Com_18452_pos",56,0.68421,0.16481,0.92418
"Com_18478_pos",64,0.315,0.50169,0.76474
"Com_18482_pos",66,0.24745,0.60651,0.71394
"Com_18485_pos",87,0.0038862,2.4105,0.20115
"Com_18489_pos",50,1,0,1
"Com_1848_pos",91,0.00105,2.9788,0.15097
"Com_18497_pos",68,0.19032,0.72052,0.68218
"Com_18498_pos",88,0.0028795,2.5407,0.1656
"Com_18506_pos",58,0.57874,0.23752,0.88784
"Com_18557_pos",50,1,0,1
"Com_18565_pos",58,0.57874,0.23752,0.88784
"Com_18568_pos",22,0.035463,1.4502,0.41156
"Com_18586_pos",70,0.14314,0.84424,0.63324
"Com_18599_pos",69,0.16549,0.78122,0.65589
"Com_18623_pos",56,0.68421,0.16481,0.92418
"Com_18643_pos",69,0.16549,0.78122,0.65589
"Com_1864_pos",69,0.16549,0.78122,0.65589
"Com_18651_pos",70,0.14314,0.84424,0.63324
"Com_18669_pos",41,0.52885,0.27667,0.86844
"Com_18682_pos",78,0.035463,1.4502,0.41156
"Com_18711_pos",48,0.9118,0.040102,0.99065
"Com_1871_pos",74,0.075256,1.1235,0.50326
"Com_18721_pos",54,0.79594,0.099122,0.97073
"Com_18723_pos",38,0.39305,0.40555,0.79969
"Com_18744_pos",68,0.19032,0.72052,0.68218
"Com_18746_pos",54,0.79594,0.099122,0.97073
"Com_18750_pos",61,0.43587,0.36064,0.83189
"Com_18752_pos",50,1,0,1
"Com_18753_pos",40,0.48125,0.31763,0.85132
"Com_18790_pos",57,0.63053,0.20029,0.91112
"Com_18793_pos",51,0.97051,0.012999,0.99948
"Com_18794_pos",31,0.16549,0.78122,0.65589
"Com_18807_pos",87,0.0038862,2.4105,0.20115
"Com_1880_pos",53,0.85343,0.068833,0.98294
"Com_18817_pos",45,0.73936,0.13114,0.94633
"Com_18818_pos",72,0.10512,0.9783,0.55409
"Com_1881_pos",52,0.9118,0.040102,0.99065
"Com_18838_pos",69,0.16549,0.78122,0.65589
"Com_1885_pos",75,0.063013,1.2006,0.4868
"Com_18860_pos",76,0.052426,1.2805,0.46149
"Com_18863_pos",81,0.018543,1.7318,0.3287
"Com_1886_pos",58,0.57874,0.23752,0.88784
"Com_1887_pos",53,0.85343,0.068833,0.98294
"Com_18882_pos",46,0.79594,0.099122,0.97073
"Com_18889_pos",90,0.0015047,2.8226,0.1656
"Com_18915_pos",45,0.73936,0.13114,0.94633
"Com_18934_pos",34,0.24745,0.60651,0.71394
"Com_18947_pos",54,0.79594,0.099122,0.97073
"Com_18956_pos",63,0.35268,0.45262,0.793
"Com_18958_pos",66,0.24745,0.60651,0.71394
"Com_1896_pos",69,0.16549,0.78122,0.65589
"Com_1897_pos",73,0.08921,1.0496,0.52234
"Com_18980_pos",43,0.63053,0.20029,0.91112
"Com_18991_pos",39,0.43587,0.36064,0.83189
"Com_19004_pos",54,0.79594,0.099122,0.97073
"Com_19018_pos",57,0.63053,0.20029,0.91112
"Com_19033_pos",73,0.08921,1.0496,0.52234
"Com_19048_pos",48,0.9118,0.040102,0.99065
"Com_1908_pos",29,0.12301,0.91008,0.59614
"Com_19091_pos",56,0.68421,0.16481,0.92418
"Com_19100_pos",52,0.9118,0.040102,0.99065
"Com_19105_pos",55,0.73936,0.13114,0.94633
"Com_1914_pos",52,0.9118,0.040102,0.99065
"Com_19161_pos",46,0.79594,0.099122,0.97073
"Com_19183_pos",66,0.24745,0.60651,0.71394
"Com_19194_pos",40,0.48125,0.31763,0.85132
"Com_19195_pos",59,0.52885,0.27667,0.86844
"Com_191_pos",38,0.39305,0.40555,0.79969
"Com_19209_pos",42,0.57874,0.23752,0.88784
"Com_1921_pos",35,0.27986,0.55306,0.73906
"Com_19243_pos",51,0.97051,0.012999,0.99948
"Com_19268_pos",26,0.075256,1.1235,0.50326
"Com_1926_pos",40,0.48125,0.31763,0.85132
"Com_19274_pos",70,0.14314,0.84424,0.63324
"Com_19276_pos",45,0.73936,0.13114,0.94633
"Com_19284_pos",69,0.16549,0.78122,0.65589
"Com_19293_pos",63,0.35268,0.45262,0.793
"Com_19302_pos",57,0.63053,0.20029,0.91112
"Com_19303_pos",74,0.075256,1.1235,0.50326
"Com_19314_pos",47,0.85343,0.068833,0.98294
"Com_19325_pos",46,0.79594,0.099122,0.97073
"Com_19337_pos",57,0.63053,0.20029,0.91112
"Com_19346_pos",59,0.52885,0.27667,0.86844
"Com_19369_pos",55,0.73936,0.13114,0.94633
"Com_19375_pos",28,0.10512,0.9783,0.55409
"Com_19376_pos",62,0.39305,0.40555,0.79969
"Com_19379_pos",44,0.68421,0.16481,0.92418
"Com_19384_pos",45,0.73936,0.13114,0.94633
"Com_19389_pos",73,0.08921,1.0496,0.52234
"Com_19404_pos",21,0.028806,1.5405,0.38035
"Com_19416_pos",66,0.24745,0.60651,0.71394
"Com_19418_pos",72,0.10512,0.9783,0.55409
"Com_19419_pos",58,0.57874,0.23752,0.88784
"Com_19421_pos",22,0.035463,1.4502,0.41156
"Com_19425_pos",57,0.63053,0.20029,0.91112
"Com_19427_pos",61,0.43587,0.36064,0.83189
"Com_19431_pos",70,0.14314,0.84424,0.63324
"Com_19439_pos",24,0.052426,1.2805,0.46149
"Com_19441_pos",32,0.19032,0.72052,0.68218
"Com_19447_pos",42,0.57874,0.23752,0.88784
"Com_1944_pos",50,1,0,1
"Com_19461_pos",48,0.9118,0.040102,0.99065
"Com_19476_pos",61,0.43587,0.36064,0.83189
"Com_194_pos",41,0.52885,0.27667,0.86844
"Com_19510_pos",55,0.73936,0.13114,0.94633
"Com_19518_pos",41,0.52885,0.27667,0.86844
"Com_19522_pos",48,0.9118,0.040102,0.99065
"Com_19529_pos",55,0.73936,0.13114,0.94633
"Com_19534_pos",45,0.73936,0.13114,0.94633
"Com_19538_pos",45,0.73936,0.13114,0.94633
"Com_19549_pos",60,0.48125,0.31763,0.85132
"Com_19556_pos",64,0.315,0.50169,0.76474
"Com_19564_pos",51,0.97051,0.012999,0.99948
"Com_19580_pos",94,0.00032475,3.4884,0.10506
"Com_19581_pos",42,0.57874,0.23752,0.88784
"Com_19583_pos",44,0.68421,0.16481,0.92418
"Com_19592_pos",44,0.68421,0.16481,0.92418
"Com_19593_pos",51,0.97051,0.012999,0.99948
"Com_19596_pos",60,0.48125,0.31763,0.85132
"Com_19604_pos",66,0.24745,0.60651,0.71394
"Com_19621_pos",82,0.01469,1.833,0.3287
"Com_19623_pos",81,0.018543,1.7318,0.3287
"Com_19638_pos",42,0.57874,0.23752,0.88784
"Com_19640_pos",57,0.63053,0.20029,0.91112
"Com_19643_pos",86,0.005196,2.2843,0.22792
"Com_19655_pos",42,0.57874,0.23752,0.88784
"Com_1965_pos",43,0.63053,0.20029,0.91112
"Com_19664_pos",37,0.35268,0.45262,0.793
"Com_19666_pos",43,0.63053,0.20029,0.91112
"Com_19667_pos",84,0.0089307,2.0491,0.28886
"Com_19681_pos",43,0.63053,0.20029,0.91112
"Com_19688_pos",37,0.35268,0.45262,0.793
"Com_19692_pos",79,0.028806,1.5405,0.38035
"Com_19701_pos",61,0.43587,0.36064,0.83189
"Com_19711_pos",60,0.48125,0.31763,0.85132
"Com_19717_pos",59,0.52885,0.27667,0.86844
"Com_19721_pos",40,0.48125,0.31763,0.85132
"Com_19725_pos",46,0.79594,0.099122,0.97073
"Com_19726_pos",40,0.48125,0.31763,0.85132
"Com_1972_pos",46,0.79594,0.099122,0.97073
"Com_19735_pos",60,0.48125,0.31763,0.85132
"Com_19756_pos",35,0.27986,0.55306,0.73906
"Com_19762_pos",55,0.73936,0.13114,0.94633
"Com_1979_pos",32,0.19032,0.72052,0.68218
"Com_19818_pos",43,0.63053,0.20029,0.91112
"Com_19823_pos",74,0.075256,1.1235,0.50326
"Com_19834_pos",58,0.57874,0.23752,0.88784
"Com_19835_pos",52,0.9118,0.040102,0.99065
"Com_19843_pos",75,0.063013,1.2006,0.4868
"Com_1984_pos",58,0.57874,0.23752,0.88784
"Com_19857_pos",49,0.97051,0.012999,0.99948
"Com_19887_pos",51,0.97051,0.012999,0.99948
"Com_19891_pos",56,0.68421,0.16481,0.92418
"Com_19904_pos",72,0.10512,0.9783,0.55409
"Com_19905_pos",23,0.043257,1.3639,0.4356
"Com_19914_pos",48,0.9118,0.040102,0.99065
"Com_19929_pos",93,0.00048713,3.3124,0.11461
